Target site: layer 1, position 12
Shared dirs: (10, 64), Reference acts: (2000, 64)

============================================================
CONDITION A (alpha=0.1, 20 seeds)
============================================================
  Training A_seed0...
  Step   3000 | loss 0.0318 | aux 0.0000 | acc 0.9380 | 53s
  Step   3200 | loss 0.0342 | aux 0.0000 | acc 0.9652 | 56s
  Step   3400 | loss 0.0156 | aux 0.0000 | acc 0.9228 | 60s
  Step   3600 | loss 0.0033 | aux 0.0000 | acc 0.9784 | 64s
  Step   3800 | loss 0.0043 | aux 0.0000 | acc 0.9918 | 67s
  >>> Converged at step 3800
  Step   4000 | loss 0.0126 | aux 0.0000 | acc 0.9928 | 70s
  Step   4200 | loss 0.0088 | aux 0.0000 | acc 0.9902 | 74s
  Training A_seed6...
  Step    200 | loss 1.7116 | aux 0.0000 | acc 0.0000 | 4s
  Step    400 | loss 1.6239 | aux 0.0000 | acc 0.0000 | 7s
  Step    600 | loss 1.6080 | aux 0.0000 | acc 0.0000 | 11s
  Step    800 | loss 1.5343 | aux 0.0000 | acc 0.0002 | 14s
  Step   1000 | loss 0.5942 | aux 0.0000 | acc 0.1266 | 18s
  Step   1200 | loss 0.1446 | aux 0.0000 | acc 0.5758 | 21s
  Step   1400 | loss 0.1349 | aux 0.0000 | acc 0.7694 | 25s
  Step   1600 | loss 0.0492 | aux 0.0000 | acc 0.8942 | 28s
  Step   1800 | loss 0.0323 | aux 0.0000 | acc 0.9500 | 32s
  Step   2000 | loss 0.0096 | aux 0.0000 | acc 0.9706 | 36s
  Step   2200 | loss 0.0119 | aux 0.0000 | acc 0.9826 | 39s
  Step   2400 | loss 0.0054 | aux 0.0000 | acc 0.9790 | 43s
  Step   2600 | loss 0.0322 | aux 0.0000 | acc 0.9608 | 46s
  Step   2800 | loss 0.0125 | aux 0.0000 | acc 0.9568 | 50s
  Step   3000 | loss 0.0016 | aux 0.0000 | acc 0.9960 | 53s
  >>> Converged at step 3000
  Step   3200 | loss 0.0405 | aux 0.0000 | acc 0.9600 | 57s
  Step   3400 | loss 0.0024 | aux 0.0000 | acc 0.9982 | 61s
  Training A_seed7...
  Step    200 | loss 1.6911 | aux 0.0000 | acc 0.0000 | 4s
  Step    400 | loss 1.6148 | aux 0.0000 | acc 0.0000 | 7s
  Step    600 | loss 1.5926 | aux 0.0000 | acc 0.0000 | 11s
  Step    800 | loss 1.5925 | aux 0.0000 | acc 0.0000 | 14s
  Step   1000 | loss 1.3832 | aux 0.0000 | acc 0.0014 | 18s
  Step   1200 | loss 0.3276 | aux 0.0000 | acc 0.3248 | 21s
  Step   1400 | loss 0.0579 | aux 0.0000 | acc 0.9332 | 25s
  Step   1600 | loss 0.0171 | aux 0.0000 | acc 0.9782 | 29s
  Step   1800 | loss 0.0055 | aux 0.0000 | acc 0.9968 | 32s
  >>> Converged at step 1800
  Step   2000 | loss 0.0020 | aux 0.0000 | acc 0.9870 | 36s
  Step   2200 | loss 0.0008 | aux 0.0000 | acc 0.9992 | 40s
  Training A_seed8...
  Step    200 | loss 1.6508 | aux 0.0000 | acc 0.0000 | 4s
  Step    400 | loss 1.6030 | aux 0.0000 | acc 0.0002 | 7s
  Step    600 | loss 1.0384 | aux 0.0000 | acc 0.0042 | 11s
  Step    800 | loss 0.8691 | aux 0.0000 | acc 0.0144 | 15s
  Step   1000 | loss 0.1421 | aux 0.0000 | acc 0.7430 | 19s
  Step   1200 | loss 0.0900 | aux 0.0000 | acc 0.8234 | 22s
  Step   1400 | loss 0.0388 | aux 0.0000 | acc 0.9152 | 26s
  Step   1600 | loss 0.0350 | aux 0.0000 | acc 0.9444 | 30s
  Step   1800 | loss 0.0208 | aux 0.0000 | acc 0.9454 | 34s
  Step   2000 | loss 0.0187 | aux 0.0000 | acc 0.9556 | 37s
  Step   2200 | loss 0.0209 | aux 0.0000 | acc 0.9756 | 41s
  Step   2400 | loss 0.0177 | aux 0.0000 | acc 0.9560 | 45s
  Step   2600 | loss 0.0094 | aux 0.0000 | acc 0.9666 | 48s
  Step   2800 | loss 0.0073 | aux 0.0000 | acc 0.9930 | 52s
  >>> Converged at step 2800
  Step   3000 | loss 0.0013 | aux 0.0000 | acc 0.9872 | 55s
  Step   3200 | loss 0.0022 | aux 0.0000 | acc 0.9926 | 59s
  Training A_seed9...
  Step    200 | loss 1.6896 | aux 0.0000 | acc 0.0000 | 4s
  Step    400 | loss 1.6429 | aux 0.0000 | acc 0.0000 | 7s
  Step    600 | loss 1.5879 | aux 0.0000 | acc 0.0000 | 11s
  Step    800 | loss 1.2422 | aux 0.0000 | acc 0.0010 | 14s
  Step   1000 | loss 0.8463 | aux 0.0000 | acc 0.0076 | 18s
  Step   1200 | loss 0.8251 | aux 0.0000 | acc 0.0128 | 21s
  Step   1400 | loss 0.1493 | aux 0.0000 | acc 0.7086 | 25s
  Step   1600 | loss 0.1233 | aux 0.0000 | acc 0.7110 | 29s
  Step   1800 | loss 0.0713 | aux 0.0000 | acc 0.8364 | 32s
  Step   2000 | loss 0.0723 | aux 0.0000 | acc 0.8158 | 36s
  Step   2200 | loss 0.0597 | aux 0.0000 | acc 0.8060 | 40s
  Step   2400 | loss 0.0694 | aux 0.0000 | acc 0.7758 | 43s
  Step   2600 | loss 0.0435 | aux 0.0000 | acc 0.8380 | 47s
  Step   2800 | loss 0.0622 | aux 0.0000 | acc 0.8830 | 51s
  Step   3000 | loss 0.0781 | aux 0.0000 | acc 0.8392 | 54s
  Step   3200 | loss 0.0537 | aux 0.0000 | acc 0.8656 | 58s
  Step   3400 | loss 0.0980 | aux 0.0000 | acc 0.7858 | 61s
  Step   3600 | loss 0.1041 | aux 0.0000 | acc 0.8124 | 65s
  Step   3800 | loss 0.0571 | aux 0.0000 | acc 0.9280 | 68s
  Step   4000 | loss 0.0470 | aux 0.0000 | acc 0.8626 | 72s
  Step   4200 | loss 0.0393 | aux 0.0000 | acc 0.9196 | 76s
  Step   4400 | loss 0.0321 | aux 0.0000 | acc 0.9312 | 79s
  Step   4600 | loss 0.0373 | aux 0.0000 | acc 0.9234 | 83s
  Step   4800 | loss 0.0233 | aux 0.0000 | acc 0.9260 | 86s
  Step   5000 | loss 0.0205 | aux 0.0000 | acc 0.9706 | 90s
  Step   5200 | loss 0.0097 | aux 0.0000 | acc 0.9632 | 94s
  Step   5400 | loss 0.0172 | aux 0.0000 | acc 0.9706 | 97s
  Step   5600 | loss 0.0082 | aux 0.0000 | acc 0.9614 | 101s
  Step   5800 | loss 0.0071 | aux 0.0000 | acc 0.9670 | 104s
  Step   6000 | loss 0.0150 | aux 0.0000 | acc 0.9118 | 108s
  Step   6200 | loss 0.0274 | aux 0.0000 | acc 0.9842 | 112s
  Step   6400 | loss 0.0237 | aux 0.0000 | acc 0.9670 | 115s
  Step   6600 | loss 0.0054 | aux 0.0000 | acc 0.9914 | 119s
  >>> Converged at step 6600
  Step   6800 | loss 0.0057 | aux 0.0000 | acc 0.9900 | 123s
  Step   7000 | loss 0.0237 | aux 0.0000 | acc 0.9674 | 126s
  Training A_seed10...
  Step    200 | loss 1.7018 | aux 0.0000 | acc 0.0002 | 4s
  Step    400 | loss 1.6329 | aux 0.0000 | acc 0.0000 | 7s
  Step    600 | loss 1.5935 | aux 0.0000 | acc 0.0002 | 11s
  Step    800 | loss 1.6101 | aux 0.0000 | acc 0.0000 | 15s
  Step   1000 | loss 1.6142 | aux 0.0000 | acc 0.0000 | 18s
  Step   1200 | loss 1.5600 | aux 0.0000 | acc 0.0002 | 22s
  Step   1400 | loss 1.0240 | aux 0.0000 | acc 0.0076 | 26s
  Step   1600 | loss 0.8970 | aux 0.0000 | acc 0.0142 | 30s
  Step   1800 | loss 0.5215 | aux 0.0000 | acc 0.0696 | 33s
  Step   2000 | loss 0.0949 | aux 0.0000 | acc 0.6958 | 37s
  Step   2200 | loss 0.0459 | aux 0.0000 | acc 0.9112 | 41s
  Step   2400 | loss 0.0248 | aux 0.0000 | acc 0.9712 | 44s
  Step   2600 | loss 0.0273 | aux 0.0000 | acc 0.9456 | 48s
  Step   2800 | loss 0.0118 | aux 0.0000 | acc 0.9616 | 52s
  Step   3000 | loss 0.0086 | aux 0.0000 | acc 0.9780 | 55s
  Step   3200 | loss 0.0282 | aux 0.0000 | acc 0.9582 | 59s
  Step   3400 | loss 0.0074 | aux 0.0000 | acc 0.9824 | 63s
  Step   3600 | loss 0.0113 | aux 0.0000 | acc 0.9692 | 66s
  Step   3800 | loss 0.0182 | aux 0.0000 | acc 0.9832 | 70s
  Step   4000 | loss 0.0046 | aux 0.0000 | acc 0.9864 | 73s
  Step   4200 | loss 0.0196 | aux 0.0000 | acc 0.9704 | 77s
  Step   4400 | loss 0.0036 | aux 0.0000 | acc 0.9942 | 81s
  >>> Converged at step 4400
  Step   4600 | loss 0.0010 | aux 0.0000 | acc 0.9884 | 84s
  Step   4800 | loss 0.0028 | aux 0.0000 | acc 0.9898 | 88s
  Training A_seed11...
  Step    200 | loss 1.6837 | aux 0.0000 | acc 0.0002 | 4s
  Step    400 | loss 1.6181 | aux 0.0000 | acc 0.0002 | 7s
  Step    600 | loss 1.5841 | aux 0.0000 | acc 0.0000 | 11s
  Step    800 | loss 0.8536 | aux 0.0000 | acc 0.0114 | 14s
  Step   1000 | loss 0.2036 | aux 0.0000 | acc 0.5032 | 18s
  Step   1200 | loss 0.0195 | aux 0.0000 | acc 0.9594 | 22s
  Step   1400 | loss 0.0346 | aux 0.0000 | acc 0.9678 | 25s
  Step   1600 | loss 0.0161 | aux 0.0000 | acc 0.9686 | 29s
  Step   1800 | loss 0.0063 | aux 0.0000 | acc 0.9882 | 33s
  Step   2000 | loss 0.0034 | aux 0.0000 | acc 0.9904 | 36s
  >>> Converged at step 2000
  Step   2200 | loss 0.0056 | aux 0.0000 | acc 0.9922 | 40s
  Step   2400 | loss 0.0019 | aux 0.0000 | acc 0.9966 | 44s
  Training A_seed12...
  Step    200 | loss 1.6885 | aux 0.0000 | acc 0.0000 | 4s
  Step    400 | loss 1.6097 | aux 0.0000 | acc 0.0002 | 7s
  Step    600 | loss 1.2227 | aux 0.0000 | acc 0.0012 | 11s
  Step    800 | loss 0.8738 | aux 0.0000 | acc 0.0098 | 14s
  Step   1000 | loss 0.2003 | aux 0.0000 | acc 0.6014 | 18s
  Step   1200 | loss 0.0893 | aux 0.0000 | acc 0.8074 | 22s
  Step   1400 | loss 0.0755 | aux 0.0000 | acc 0.8692 | 25s
  Step   1600 | loss 0.0369 | aux 0.0000 | acc 0.9226 | 29s
  Step   1800 | loss 0.0263 | aux 0.0000 | acc 0.9090 | 33s
  Step   2000 | loss 0.0253 | aux 0.0000 | acc 0.9406 | 36s
  Step   2200 | loss 0.0220 | aux 0.0000 | acc 0.9066 | 40s
  Step   2400 | loss 0.0166 | aux 0.0000 | acc 0.9552 | 44s
  Step   2600 | loss 0.0142 | aux 0.0000 | acc 0.9706 | 47s
  Step   2800 | loss 0.0100 | aux 0.0000 | acc 0.9702 | 51s
  Step   3000 | loss 0.0194 | aux 0.0000 | acc 0.9684 | 54s
  Step   3200 | loss 0.0138 | aux 0.0000 | acc 0.9684 | 58s
  Step   3400 | loss 0.0074 | aux 0.0000 | acc 0.9798 | 62s
  Step   3600 | loss 0.0052 | aux 0.0000 | acc 0.9882 | 65s
  Step   3800 | loss 0.0083 | aux 0.0000 | acc 0.9900 | 69s
  >>> Converged at step 3800
  Step   4000 | loss 0.0166 | aux 0.0000 | acc 0.9914 | 73s
  Step   4200 | loss 0.0045 | aux 0.0000 | acc 0.9938 | 76s
  Training A_seed13...
  Step    200 | loss 1.6974 | aux 0.0000 | acc 0.0000 | 4s
  Step    400 | loss 1.6382 | aux 0.0000 | acc 0.0000 | 7s
  Step    600 | loss 1.6056 | aux 0.0000 | acc 0.0002 | 11s
  Step    800 | loss 1.5838 | aux 0.0000 | acc 0.0002 | 14s
  Step   1000 | loss 1.5612 | aux 0.0000 | acc 0.0000 | 18s
  Step   1200 | loss 0.9228 | aux 0.0000 | acc 0.0024 | 22s
  Step   1400 | loss 0.6261 | aux 0.0000 | acc 0.0398 | 25s
  Step   1600 | loss 0.1585 | aux 0.0000 | acc 0.7348 | 29s
  Step   1800 | loss 0.1011 | aux 0.0000 | acc 0.8068 | 33s
  Step   2000 | loss 0.0373 | aux 0.0000 | acc 0.8942 | 36s
  Step   2200 | loss 0.0411 | aux 0.0000 | acc 0.9316 | 40s
  Step   2400 | loss 0.0319 | aux 0.0000 | acc 0.9502 | 43s
  Step   2600 | loss 0.0258 | aux 0.0000 | acc 0.9192 | 47s
  Step   2800 | loss 0.0223 | aux 0.0000 | acc 0.9450 | 50s
  Step   3000 | loss 0.0128 | aux 0.0000 | acc 0.9652 | 54s
  Step   3200 | loss 0.0149 | aux 0.0000 | acc 0.9790 | 57s
  Step   3400 | loss 0.0176 | aux 0.0000 | acc 0.9762 | 61s
  Step   3600 | loss 0.0140 | aux 0.0000 | acc 0.9782 | 65s
  Step   3800 | loss 0.0099 | aux 0.0000 | acc 0.9776 | 68s
  Step   4000 | loss 0.0091 | aux 0.0000 | acc 0.9560 | 72s
  Step   4200 | loss 0.0162 | aux 0.0000 | acc 0.9692 | 75s
  Step   4400 | loss 0.0167 | aux 0.0000 | acc 0.9770 | 79s
  Step   4600 | loss 0.0106 | aux 0.0000 | acc 0.9762 | 83s
  Step   4800 | loss 0.0280 | aux 0.0000 | acc 0.9636 | 86s
  Step   5000 | loss 0.0154 | aux 0.0000 | acc 0.9698 | 90s
  Step   5200 | loss 0.0125 | aux 0.0000 | acc 0.9766 | 93s
  Step   5400 | loss 0.0253 | aux 0.0000 | acc 0.9722 | 97s
  Step   5600 | loss 0.0085 | aux 0.0000 | acc 0.9702 | 101s
  Step   5800 | loss 0.0125 | aux 0.0000 | acc 0.9796 | 105s
  Step   6000 | loss 0.0023 | aux 0.0000 | acc 0.9850 | 108s
  Step   6200 | loss 0.0070 | aux 0.0000 | acc 0.9856 | 112s
  Step   6400 | loss 0.0076 | aux 0.0000 | acc 0.9744 | 116s
  Step   6600 | loss 0.0048 | aux 0.0000 | acc 0.9894 | 119s
  Step   6800 | loss 0.0064 | aux 0.0000 | acc 0.9720 | 123s
  Step   7000 | loss 0.0048 | aux 0.0000 | acc 0.9806 | 126s
  Step   7200 | loss 0.0023 | aux 0.0000 | acc 0.9962 | 130s
  >>> Converged at step 7200
  Step   7400 | loss 0.0024 | aux 0.0000 | acc 0.9868 | 134s
  Step   7600 | loss 0.0025 | aux 0.0000 | acc 0.9924 | 137s
  Training A_seed14...
  Step    200 | loss 1.7189 | aux 0.0000 | acc 0.0000 | 4s
  Step    400 | loss 1.6214 | aux 0.0000 | acc 0.0000 | 8s
  Step    600 | loss 1.5796 | aux 0.0000 | acc 0.0000 | 11s
  Step    800 | loss 1.3126 | aux 0.0000 | acc 0.0004 | 15s
  Step   1000 | loss 1.2956 | aux 0.0000 | acc 0.0006 | 19s
  Step   1200 | loss 0.9294 | aux 0.0000 | acc 0.0048 | 22s
  Step   1400 | loss 0.6391 | aux 0.0000 | acc 0.0526 | 26s
  Step   1600 | loss 0.2110 | aux 0.0000 | acc 0.6496 | 29s
  Step   1800 | loss 0.0310 | aux 0.0000 | acc 0.9574 | 33s
  Step   2000 | loss 0.0817 | aux 0.0000 | acc 0.9230 | 36s
  Step   2200 | loss 0.0580 | aux 0.0000 | acc 0.8768 | 40s
  Step   2400 | loss 0.0217 | aux 0.0000 | acc 0.9780 | 43s
  Step   2600 | loss 0.0107 | aux 0.0000 | acc 0.9846 | 47s
  Step   2800 | loss 0.0423 | aux 0.0000 | acc 0.9680 | 51s
  Step   3000 | loss 0.0087 | aux 0.0000 | acc 0.9574 | 54s
  Step   3200 | loss 0.0051 | aux 0.0000 | acc 0.9930 | 58s
  >>> Converged at step 3200
  Step   3400 | loss 0.0095 | aux 0.0000 | acc 0.9976 | 62s
  Step   3600 | loss 0.0040 | aux 0.0000 | acc 0.9976 | 65s
  Training A_seed15...
  Step    200 | loss 1.6688 | aux 0.0000 | acc 0.0000 | 4s
  Step    400 | loss 1.6049 | aux 0.0000 | acc 0.0000 | 7s
  Step    600 | loss 1.6070 | aux 0.0000 | acc 0.0000 | 11s
  Step    800 | loss 1.5730 | aux 0.0000 | acc 0.0000 | 15s
  Step   1000 | loss 0.8907 | aux 0.0000 | acc 0.0164 | 18s
  Step   1200 | loss 0.2094 | aux 0.0000 | acc 0.5890 | 22s
  Step   1400 | loss 0.1295 | aux 0.0000 | acc 0.7478 | 26s
  Step   1600 | loss 0.0368 | aux 0.0000 | acc 0.9032 | 29s
  Step   1800 | loss 0.0263 | aux 0.0000 | acc 0.9638 | 33s
  Step   2000 | loss 0.0082 | aux 0.0000 | acc 0.9848 | 37s
  Step   2200 | loss 0.0083 | aux 0.0000 | acc 0.9806 | 40s
  Step   2400 | loss 0.0108 | aux 0.0000 | acc 0.9820 | 44s
  Step   2600 | loss 0.0221 | aux 0.0000 | acc 0.9562 | 48s
  Step   2800 | loss 0.0070 | aux 0.0000 | acc 0.9936 | 51s
  >>> Converged at step 2800
  Step   3000 | loss 0.0027 | aux 0.0000 | acc 0.9950 | 55s
  Step   3200 | loss 0.0053 | aux 0.0000 | acc 0.9976 | 58s
  Training A_seed16...
  Step    200 | loss 1.6584 | aux 0.0000 | acc 0.0000 | 4s
  Step    400 | loss 1.6137 | aux 0.0000 | acc 0.0004 | 7s
  Step    600 | loss 1.6052 | aux 0.0000 | acc 0.0002 | 11s
  Step    800 | loss 0.9435 | aux 0.0000 | acc 0.0024 | 14s
  Step   1000 | loss 0.8798 | aux 0.0000 | acc 0.0088 | 18s
  Step   1200 | loss 0.1463 | aux 0.0000 | acc 0.7208 | 22s
  Step   1400 | loss 0.1017 | aux 0.0000 | acc 0.7130 | 26s
  Step   1600 | loss 0.1171 | aux 0.0000 | acc 0.7466 | 29s
  Step   1800 | loss 0.1669 | aux 0.0000 | acc 0.5852 | 33s
  Step   2000 | loss 0.1214 | aux 0.0000 | acc 0.7976 | 37s
  Step   2200 | loss 0.1181 | aux 0.0000 | acc 0.7254 | 41s
  Step   2400 | loss 0.0676 | aux 0.0000 | acc 0.7758 | 44s
  Step   2600 | loss 0.0869 | aux 0.0000 | acc 0.8024 | 48s
  Step   2800 | loss 0.1037 | aux 0.0000 | acc 0.8126 | 52s
  Step   3000 | loss 0.0712 | aux 0.0000 | acc 0.7708 | 55s
  Step   3200 | loss 0.0558 | aux 0.0000 | acc 0.8042 | 59s
  Step   3400 | loss 0.0575 | aux 0.0000 | acc 0.8822 | 62s
  Step   3600 | loss 0.0682 | aux 0.0000 | acc 0.8364 | 66s
  Step   3800 | loss 0.1189 | aux 0.0000 | acc 0.8656 | 70s
  Step   4000 | loss 0.0504 | aux 0.0000 | acc 0.8808 | 74s
  Step   4200 | loss 0.0632 | aux 0.0000 | acc 0.8314 | 78s
